Restaurant_Link,Restaurant_ID,Name,Ratings,Cuisine
https://www.grubhub.com/restaurant/pantanos-kitchen-1308-broadway-hewlett/2809912,2809912,Pantano's Kitchen,273 ratings,Italian
https://www.grubhub.com/restaurant/mcdonalds-1872-3rd-ave-new-york/1339059,1339059,McDonald's,1880 ratings,Fast Food
https://www.grubhub.com/restaurant/veselka-144-2nd-ave-new-york-city/312813,312813,Veselka,4322 ratings,Breakfast
https://www.grubhub.com/restaurant/taco-bell-490-peninsula-blvd-hempstead/925046,925046,Taco Bell,911 ratings,Mexican
https://www.grubhub.com/restaurant/popeyes-239-25-linden-blvd-elmont/1200189,1200189,Popeyes,311 ratings,Fast Food
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Jersey Mike's,456 ratings,Sandwich
https://www.grubhub.com/restaurant/sweetgreen-1740-broadway-new-york/2305142,2305142,sweetgreen,893 ratings,Salad
https://www.grubhub.com/restaurant/wendys-4330-boston-rd-bronx/6444432,6444432,Wendy's,1036 ratings,Fast Food
https://www.grubhub.com/restaurant/yolpaqui-taqueria-1431-forest-ave-staten-island/1198502,1198502,Yolpaqui Taqueria,3332 ratings,Mexican
https://www.grubhub.com/restaurant/just-salad---2056-broadway-2056-broadway-new-york/302550,302550,Just Salad - 2056 Broadway,3986 ratings,Salad
https://www.grubhub.com/restaurant/cocina-latina-789-allerton-ave-bronx/1259230,1259230,Cocina Latina,1584 ratings,Latin American
https://www.grubhub.com/restaurant/darna-falafel-200-court-st-brooklyn/264844,264844,Darna Falafel,1712 ratings,Mediterranean
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,BBQ PIT,148 ratings,BBQ
https://www.grubhub.com/restaurant/panera-bread-25441-horace-harding-expy-little-neck/1306575,1306575,Panera Bread,415 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/burger-king-1727-merrick-rd-merrick/743939,743939,Burger King,303 ratings,Hamburger
https://www.grubhub.com/restaurant/pizza-nova-523-west-207-st-frnt-new-york/280020,280020,Pizza Nova,3033 ratings,Pizza
https://www.grubhub.com/restaurant/honeybrains-372-lafayette-st-new-york/2038483,2038483,Honeybrains,227 ratings,Bowls
https://www.grubhub.com/restaurant/jimbos-hamburger-palace-703-lenox-ave-new-york/782569,782569,Jimbos Hamburger Palace,4457 ratings,Hamburger
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Maydan by Wonder (UWS),131 ratings,Mediterranean
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Eat Street NYC,93 ratings,Dinner
https://www.grubhub.com/restaurant/1915-hand-pulled-noodles--dumplings-207-e-26th-st-new-york/7599544,7599544,1915 Hand Pulled Noodles & Dumplings,47 ratings,Asian
https://www.grubhub.com/restaurant/lunetta-pizza--restaurant-245-3rd-ave-new-york/4548224,4548224,Lunetta Pizza & Restaurant,5371 ratings,Pizza
https://www.grubhub.com/restaurant/aahar-indian-cuisine-10-murray-st-new-york/333939,333939,Aahar Indian Cuisine,3925 ratings,Indian
https://www.grubhub.com/restaurant/burgerdog-578-9th-ave-new-york/5333168,5333168,BurgerDog,NA,Hamburger
https://www.grubhub.com/restaurant/subway-530-conduit-blvd-brooklyn/966928,966928,SUBWAY®,635 ratings,American
https://www.grubhub.com/restaurant/dishes-6-e-45th-st-new-york/1006151,1006151,Dishes,141 ratings,Breakfast
https://www.grubhub.com/restaurant/vegan-grill-1201-castle-hill-ave-bronx/1229437,1229437,Vegan Grill,1096 ratings,Hamburger
https://www.grubhub.com/restaurant/checkers-2270-forest-ave-staten-island/1432786,1432786,Checkers,110 ratings,Hamburger
https://www.grubhub.com/restaurant/rim-nam-thai-kitchen-52-jay-st-brooklyn/2747066,2747066,Rim Nam Thai Kitchen,209 ratings,Noodles
https://www.grubhub.com/restaurant/capri-pizza--pasta-company-350-s-broadway-sleepy-hollow/4251824,4251824,Capri Pizza & Pasta Company,214 ratings,Pizza
https://www.grubhub.com/restaurant/park-slope-restaurant-diner-486-5th-ave-brooklyn/1970761,1970761,Park Slope Restaurant Diner,640 ratings,Hamburger
https://www.grubhub.com/restaurant/corgi-jianbing-ke-ji-jian-bing-4405-hunter-st-queens/6970168,6970168,Corgi Jianbing Ke Ji Jian Bing,10 ratings,Chinese
https://www.grubhub.com/restaurant/le-petit-parisien-151-malcolm-x-blvd-new-york/1750149,1750149,Le Petit Parisien,441 ratings,Dessert
https://www.grubhub.com/restaurant/dukes-cafe-22-56-31st-street-astoria/7650720,7650720,Duke's Cafe,28 ratings,Hamburger
https://www.grubhub.com/restaurant/pie-zazz-1863-westchester-ave-bronx/7667368,7667368,Pie-Zazz,NA,Pizza
https://www.grubhub.com/restaurant/yummy-halal-grill-4713-white-plains-road-bronx/6922424,6922424,Yummy Halal Grill,5 ratings,Hamburger
https://www.grubhub.com/restaurant/the-mainstay-by-marc-murphy-park-slope-493-5th-ave-brooklyn/7286000,7286000,The Mainstay by Marc Murphy (Park Slope),4 ratings,Dessert
https://www.grubhub.com/restaurant/solimar-grill-restaurant-1800-archer-st-bronx/1037766,1037766,Solimar Grill Restaurant,145 ratings,Breakfast
https://www.grubhub.com/restaurant/inca-paisa-astoria-21-19-broadway-astoria/6542304,6542304,Inca Paisa Astoria,45 ratings,Breakfast
https://www.grubhub.com/restaurant/afternoon-2785-broadway-new-york/6198064,6198064,Afternoon,191 ratings,Dessert
https://www.grubhub.com/restaurant/subs-bro-1715-st-johns-pl-brooklyn/7572752,7572752,Subs Bro,3 ratings,Sandwich
https://www.grubhub.com/restaurant/go-detox-bar-juice-and-grill-8824-van-wyck-expy-richmond-hill/7944792,7944792,Go Detox Bar Juice and Grill,NA,Breakfast
https://www.grubhub.com/restaurant/max-soha-1274-amsterdam-ave-new-york/2560817,2560817,Max SoHa,441 ratings,Italian
https://www.grubhub.com/restaurant/good-enough-to-eat---the-original-since-1981-520-columbus-ave-new-york/300180,300180,"Good Enough To Eat - The Original, since 1981",695 ratings,Breakfast
https://www.grubhub.com/restaurant/semicolon-157th-9-edward-m-morgan-pl-new-york/2463595,2463595,Semicolon 157th,426 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/panini-point-263-1st-avenue-new-york/4505024,4505024,Panini Point,NA,Fast Food
https://www.grubhub.com/restaurant/chris-caribbean-restaurant-613-nostrand-ave-brooklyn/1685816,1685816,Chris Caribbean Restaurant,339 ratings,Caribbean
https://www.grubhub.com/restaurant/simply-gourmet-market-place-494-amsterdam-ave-new-york/2692116,2692116,Simply Gourmet Market Place,1451 ratings,Convenience
https://www.grubhub.com/restaurant/las-dos-mixtecas-1285-castleton-ave-staten-island/6829328,6829328,Las Dos Mixtecas,20 ratings,Salads
https://www.grubhub.com/restaurant/wham-o-burger-1250-hylan-blvd-staten-island/6971552,6971552,Wham-O! Burger,NA,Hamburger
https://www.grubhub.com/restaurant/the-little-wings-stop-625-9th-ave-new-york/3217627,3217627,The Little Wings Stop,84 ratings,Fast Food
https://www.grubhub.com/restaurant/laileilei-juice-and-snack-bar-832-westchester-ave-bronx/1419958,1419958,Laileilei Juice and Snack Bar,537 ratings,Breakfast
https://www.grubhub.com/restaurant/meet-wise-meat-242-brighton-beach-ave-brooklyn/6855328,6855328,Meet Wise Meat,85 ratings,Mediterranean
https://www.grubhub.com/restaurant/running-cool-restaurant-2263-jerome-ave-bronx/2191502,2191502,Running Cool Restaurant,273 ratings,Breakfast
https://www.grubhub.com/restaurant/ploo-601-w-26th-st-new-york/5512016,5512016,Ploo,9 ratings,American
https://www.grubhub.com/restaurant/serafina-vino-e-cucina-84th-1492-3rd-avenue-new-york/7604464,7604464,Serafina Vino E Cucina 84th,9 ratings,Italian
https://www.grubhub.com/restaurant/el-buen-sabor-restaurant-corp-10-70-cypress-ave-glendale/7013784,7013784,El Buen Sabor Restaurant Corp.,NA,Mexican
https://www.grubhub.com/restaurant/coffee-pot-23rd-av-28-19-23rd-ave-astoria/3179851,3179851,Coffee Pot 23rd Av,194 ratings,American
https://www.grubhub.com/restaurant/conviction-chicken-3181-harkness-ave-brooklyn/3188460,3188460,Conviction Chicken,18 ratings,American
https://www.grubhub.com/restaurant/shanghai-zhen-gong-fu-8616-queens-blvd-elmhurst/1015733,1015733,Shanghai Zhen Gong Fu,1233 ratings,Chinese
https://www.grubhub.com/restaurant/bonafide-delicatessen-and-cafe-118-kane-st-brooklyn/322808,322808,Bonafide Delicatessen and Cafe,509 ratings,Hamburger
https://www.grubhub.com/restaurant/alex-luncheonette-685-knickerbocker-ave-brooklyn/2485219,2485219,Alex Luncheonette,74 ratings,Mexican
https://www.grubhub.com/restaurant/good-eats-diner-9717-queens-blvd-queens/6715520,6715520,Good Eats Diner,8 ratings,Breakfast
https://www.grubhub.com/restaurant/el-tepeyac-dalilas-tacos-126-e-103rd-street-new-york/6844352,6844352,El Tepeyac Dalila's Tacos,36 ratings,Mexican
https://www.grubhub.com/restaurant/omelette-station-1564-union-tpke-new-hyde-park/6190896,6190896,Omelette Station,NA,Breakfast
https://www.grubhub.com/restaurant/bagel-market-168-william-st-new-york/6890328,6890328,Bagel Market,70 ratings,Bagel
https://www.grubhub.com/restaurant/pret-a-manger-1320-york-ave-new-york/7610000,7610000,Pret a Manger,10 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/kennedys-fried-chicken-469-e-tremont-ave-new-york/2747186,2747186,Kennedy’s Fried Chicken,180 ratings,Hamburger
https://www.grubhub.com/restaurant/bakers-dozen-bagels-8109-lefferts-blvd-kew-gardens/89086,89086,Baker's Dozen Bagels,1727 ratings,Bagel
https://www.grubhub.com/restaurant/brooklyn-natural-market--cafe-810-washington-ave-brooklyn/331220,331220,Brooklyn Natural Market & Cafe,2439 ratings,Convenience
https://www.grubhub.com/restaurant/bagel-villa-7221-5th-ave-brooklyn/3213364,3213364,Bagel Villa,807 ratings,Bagel
https://www.grubhub.com/restaurant/applebees-neighborhood-grill--bar-139-flatbush-ave-brooklyn/7556400,7556400,Applebee's Neighborhood Grill + Bar,25 ratings,Hamburger
