Restaurant_Link,Restaurant_ID,Dish_Category,Dish_Name,Dish_Price,Location
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,Hamburger Dlx,$12.75,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,Cheeseburger Dlx,$13.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,Turkey Dlx,$13.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,"Pork Chop 1 Piece Special, Rice, Greek Salad",$16.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,Best Seller,$20.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,"Salmon Special Rice, Greek Salad",$20.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,Steak Special with 1 Side Order,$33.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Fried Deligts,6 Piece Mozzarella Stix,$7.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Fried Deligts,4 Piece Chicken Fingers,$11.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Fried Deligts,Sweet Potato Fries,$6.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Fried Deligts,Sweet Plantains,$6.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Greek Specialties,Gyro Platter Large,$17.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Greek Specialties,Chicken Souvlaki Platter Large,$17.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Greek Specialties,Chicken Shawarma Platter Large,$17.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,Whole Chicken Charcol Broiled,$19.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/2 Chicken Charcol Broiled,$11.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,Best Seller,$19.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/2 Chicken Bbq'd,$11.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/4 Chicken Bbq'd,$7.25,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,Best Seller,$30.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/2 Baby Backribs,$18.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/2 Bbq'd Chicken 1/2 Ribs,$28.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,2 Piece Bbq'd Boneless Thights,$10.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,6 Piece Grilled Bbq Wings,$10.75,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,9 Piece Grilled Bbq Wings,$14.25,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/4 Chicken Bbq'd 3 Piece Ribs,$13.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,5 Piece Bbq'd Grilled Shrimps,$13.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,10 Piece Bbq'd Grilled Shrimps,$25.00,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Rice,$5.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,French Fries,$5.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Mashed Potatoes,$5.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Corn on Cob,$5.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Loose Corn,$5.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Red Beans,$5.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Mac and Cheese,$5.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Rice and Beans,$5.50,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Salads,Italian Salad Large,$13.75,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Salads,Caesar Salad Large,$12.75,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Salads,Green Salad Large,$13.25,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Salads,Greek Salad Large,$13.75,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Salads,Arugula Salad Large,$13.75,bbq-pit-355-amsterdam-avenue-new-york
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Jerk Chicken Empanadas,$8.50,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Chopped Cheese Empanadas,$9.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,BBQ Pork Empanadas,$8.50,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Mushroom Empanadas,$8.50,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Cuban Empanadas,$8.50,eat-street-nyc-887-5th-avenue-brooklyn
