Restaurant Link,Restaurant ID,Category,Dish Name,Dish Price
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#2 Jersey Shore's Favorite,$9.85+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#3 Ham and Provolone,$9.85+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#14 The Veggie,$9.85+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#5 The Super Sub,$11.05+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,Best Seller,$11.05+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#10 Tuna Fish,$11.05+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#6 Roast Beef and Provolone,$12.30+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#13 The Original Italian,$12.30+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#8 Club Sub,$12.30+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,Best Seller,$12.30+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#1 BLT,$11.05+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#4 The Number Four,$11.05+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#11 Stickball Special,$9.85+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Cold Subs,#12 Cancro Special,$12.50+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#16 Mike's Chicken Philly,$11.20+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#42 Chipotle Chicken Cheese Steak,$11.30+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#55 Big Kahuna Chicken Cheese Steak,$11.70+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#26 Bacon Ranch Chicken Cheese Steak,$11.70+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#31 California Chicken Cheese Steak,$11.20+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#44 Buffalo Chicken Cheese Steak,$11.70+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#17 Mike's Famous Philly,$11.45+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#43 Chipotle Cheese Steak,$11.55+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#56 Big Kahuna Cheese Steak,$11.90+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#64 Grilled Portabella Mushroom & Swiss,$11.05+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#66 Portabella Cheese Steak,$12.05+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,Hot Subs,#65 Portabella Chicken Cheese Steak,$11.90+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,"Sides, Drinks, & Desserts",Bubly,$3.25+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,"Sides, Drinks, & Desserts",Chips,$2.05+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,"Sides, Drinks, & Desserts",Bottled Water,$3.00+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,"Sides, Drinks, & Desserts",Soda Bottle,$3.60+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,"Sides, Drinks, & Desserts",Gatorade,$3.50+
https://www.grubhub.com/restaurant/jersey-mikes-988-hempstead-tpke-uniondale/1438066,1438066,"Sides, Drinks, & Desserts",Stubborn Soda,$3.25+
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,Hamburger Dlx,$12.75
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,Cheeseburger Dlx,$13.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,Turkey Dlx,$13.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,"Pork Chop 1 Piece Special, Rice, Greek Salad",$16.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,"Lamb Chops 3 Piece Special, Rice, Greek Salad",$20.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,"Salmon Special Rice, Greek Salad",$20.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,From the Grill,Steak Special with 1 Side Order,$33.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Fried Deligts,6 Piece Mozzarella Stix,$7.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Fried Deligts,4 Piece Chicken Fingers,$11.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Fried Deligts,Sweet Potato Fries,$6.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Fried Deligts,Sweet Plantains,$6.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Greek Specialties,Gyro Platter Large,$17.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Greek Specialties,Chicken Souvlaki Platter Large,$17.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Greek Specialties,Chicken Shawarma Platter Large,$17.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,Best Seller,$19.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/2 Chicken Charcol Broiled,$11.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,Whole Chicken Bbq'd,$19.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/2 Chicken Bbq'd,$11.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/4 Chicken Bbq'd,$7.25
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,Whole Baby Back Ribs,$30.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/2 Baby Backribs,$18.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,Best Seller,$28.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,2 Piece Bbq'd Boneless Thights,$10.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,6 Piece Grilled Bbq Wings,$10.75
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,9 Piece Grilled Bbq Wings,$14.25
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,1/4 Chicken Bbq'd 3 Piece Ribs,$13.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,5 Piece Bbq'd Grilled Shrimps,$13.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Bbq Pit,10 Piece Bbq'd Grilled Shrimps,$25.00
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Rice,$5.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,French Fries,$5.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Mashed Potatoes,$5.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Corn on Cob,$5.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Loose Corn,$5.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Red Beans,$5.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Mac and Cheese,$5.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Side Orders,Rice and Beans,$5.50
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Salads,Italian Salad Large,$13.75
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Salads,Caesar Salad Large,$12.75
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Salads,Green Salad Large,$13.25
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Salads,Greek Salad Large,$13.75
https://www.grubhub.com/restaurant/bbq-pit-355-amsterdam-avenue-new-york/6196408,6196408,Salads,Arugula Salad Large,$13.75
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Jerk Chicken Empanadas,$8.50
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Chopped Cheese Empanadas,$9.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,BBQ Pork Empanadas,$8.50
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Mushroom Empanadas,$8.50
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Cuban Empanadas,$8.50
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Classic Fries,$7.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Sweet Potato Fries,$7.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Truffle fries,$9.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Eat Street NYC Sunny Fries,$12.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Jerk Chicken Rasta Pasta,$14.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Avocado Smash Open Toast,$10.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Burrata Open Toast,$10.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Bacon Jam Soft Scramble,$10.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,6 Wings Your Way,$12.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,No Meat All Heat Sandwich,$16.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Best Seller,$18.00
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Italiano Special,$10.00+
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Firenzi,$10.00+
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Classic Crispy BLT,$9.00+
